mint	gross_pnl_sol	entry_sol
Aijysj19Tv4yYFvUunHQRqpkVDggU9GNUFJpYaetpump	0.001873594	1.9845
GzVhofvBXc4kFSLF8Ndw26QN14WAPKiKiGc7WbcCpump	0.215896007	3.0
EEEYoWjt9bN9jGBBytbEU9TenXTviB8GAFYziaYbyFhU	0.178567344	1.1907
DiK43LrGQDLthTKL8RRwLnsXzdq1mDPMoVk1rJyapump	0.237020213	1.2
Bv78jfpqNGwKN9Bo3fHrd7BtVLnpUusR16A7mpcbpump	0.339344875	2.8
9wU88rkTyr321rbUbio219XBWveUVtzNnkHf951Vpump	3.596788928	6.0
GE8q5h6eSx5qf67A3DDatSPCtoLsqQqR58zuQmohpump	23.20211882	20.0
9jRKQFo7SnAQYAndkwLCBx8D2RLkdspX5dCMSMaZpump	1.440566585	7.938
FJxSEn8UqVKfJFNw2BijANvAdgH1G5tkMVntdQSUpump	0.303804292	1.5
2MX4Q1vfHJffm8zUrskD3WK1kqNLEDr7wpGWhWuWpump	0.375962798	1.5
9HbQ9FKy6DvtZr91jWbhVQKLHrB4jkqpTtuXACmrpump	0.405894703	1.9845
5djbn3j1GGjEPFuMWV8QCqHFPv1cR21fbi78GCULpump	0.587583399	2.97675
8AZL3Lm6BTbZzXV9XDxFdUahpGNhreZvAaPNuoS5pump	0.3335209	1.2
3X5S7uJ9yX6hTxFgwz5XsK6ko1DUjJnkqJTfMM2Cpump	2.853790395	6.0
CKR5b2nDmsBq3iBrqcL8Mnh4X2ATR6r7KsqF1sswpump	0.029643504	1.3
AnH4BQrETiaoeaAbL82qDa6Vf16BrvJZ2uGtVLszpump	4.0990155	14.88375
eXSVyCeQFErGctbj558TYJJYLHZ3FYrzkW8WQNNpump	0.2009052	3.6
HqXVs4cGMMrKrnXpSGaUu1kFWaiP2Rw8QxhJ5mfJpump	0.054770494	2.480625
6wrnCeSgAeatUHpfv6vkeN726dP8TmuW3Xyh1JJYpump	0.035890079	1.2
2ui3bjKTyUj8yP7FxmeDQtkaTdAaLxzebec1LSiHpump	1.214085851	3.0
65hcCfVgqe7p2Wzjyu1GUjtyuxVrrHfkXwd4zBmZpump	0.566933072	1.6
EaVcB2fG2hPBjbHpgkNB6iHt1bp9NGRWMyfTrNhspump	0.790204592	2.8
DEyMDed3dy5H4ZbW9NKQ2d3tp9q3kTVaquMW9w1opump	1.473777758	3.0
4Tgt8Rqc6he7xTi7umCHCkTvC9hUNhep4k6kQY4Fpump	0.149035286	1.4
DVjNkEH6mBY2vxvKP8UxWtZD6GCxrug1cWLVjenpump	1.093537154	2.6
EnKRh3tGCeEduTSxX3VFRbeaPPWWCWWBazy4fXvcpump	0.014874941	4.0
7s8ZzAxDjJHTKfp44jdWTcm8u1rpD72BZ94NUnzgpump	0.086130804	4.0
9rR6q1Du8XY3GStn9w2eVg9o6QUKujG9mUKtc6TYpump	0.022519007	1.38915
mcpaUfmceanqiaGh9ovqbAo8XcHuXsMcMYPprwFpump	0.196380455	2.3814
GW53gYD89bJJDjEsQBQmAKpMJNrdi5sSSRREg4H4pump	3.418449821	12.89925
8UPn6V45CW3r559BCype7RLeFrSSCwVNgb9jjFjqpump	0.491426043	1.9845
T1HevXyEGBvviKmuJde6WXhbQkAgouWZRZtaCnMpump	0.28914689	2.0
A9znbZA5dissaDuRcYfE3CZUQCzg9DRLug5CNPJmpump	0.567425715	2.6
8gNFPsHonMibNfrgERQnAEUGwChZYcSuCuUQiXujpump	1.551301128	4.0
37rhCjazHD28KqPT7U8XXAxDUpjc1CQGXRMQafA8pump	0.136953748	1.8
ESC4vueKVZjohGPYeYNATrUs9DhAUZu2oJf58229pump	0.288299421	2.4
EW4geigJYhqp9JBocNrjaTLf2JNonuKXNvYho1Empump	0.075196313	1.3
FdJTpQU1rDAkrXz7oabyfBn3BDojDJLraBLYrvmppump	0.14289616	1.8
3oWpXt7CRiSDS5bZCjPfQssvxovqJmPSDvp32uaWpump	0.006715964	1.2
8XLULyBfGahLDbPSjumVBKP6ER9V2orJpiZwdygrpump	0.12854378	1.1907
8skcAuuxNykTt4ifvC9rjT9ndj7aMFCQeP3tfgEppump	92.834376482	30.0
HwV78SQC2rgYuNt1wSb9DsbzAYCWUGgczz9BRT9Ppump	1.250198257	2.8
DK4zzg9p1ZBoXj87xQc9MTWqDevvMZYhEJXnEiMRRrqd	0.098327144	2.0
49eLkBTbvtpXrnv1djv3zvW3SHvgTSffuJAxwzJJpump	0.029619221	1.9845
9z6zA3AaqfcdUGuuGGY9Vo7K6CEtbuVAiaw6Snbjpump	12.93782276	13.0
7Gi4u9po4v21oDNqZfi5oWbDZGwDEf3nPhux3xc8pump	0.726444364	3.0
C9LyXwbyYBWAQnxYcuhATuMKpCivPSFJZhaQAfCopump	0.152837146	1.6
7rMMq7S8s8YcnoxThMdtqkZizbM7Lq43QaneTxocpump	0.075928958	1.4
CcqzUBEjHAozAm4kFCfaXkcTgUsjxWKM8jUcwzdVpump	0.864031841	1.2
3SdydZ4GqdBi5mApqW1qPfXhVLpG2TYk1RKmaX9Jpump	0.959769493	2.57985
Gky8eDgbzfmZeyxj5mjtvPy4zbQVkaukRuSU6hi6pump	0.428897878	1.8
EuJWz2FJ5T9NvycxthL6i54Yeu45G8EMWrGkLtEapump	0.26419934	1.38915
F7nAD2ZDQBcVHy5hmE9Us2YpqBKQreUKXWp2BEBapump	0.02096176	2.97675
7GQXUTqXoMoVAKZNGGHKjWf7i1Tv4SZuyNt4KbCcpump	0.088877461	2.0
FCZUjzd4CYFaZDnjcXUXGGquysxGsYjMtZjTAeQdpump	0.671004828	2.4
6qafDNgMg7Vc2KGU2TrufvAcoohQatB5GPY3kuFnpump	0.057762846	1.2
6cWHgLfWRTYaGL3jUHk8FqDbRjmjZBstcuzyTtCSpump	0.069861921	1.3
Cv2EE48ztqQW2pjSx3PvUY8A5tF5YD5RPZPpbhjxpump	1.618335111	5.0
6yabwvWEWTdzNFmCm5LKvFakxVQpA5irzsYb5b3Ppump	0.348276589	2.0
Aqxc1JaZkmwruk7R1oq4HwazX1QF4QC9rR5Z1ucMjose	0.470991195	2.0
Cb7q5u892q3T4f2dKpUu4hxcNkH729pNeEMttJ4Wpump	0.064299588	2.0
