mint	gross_pnl_sol	entry_sol
juiVDiJVHHTzSiyPvaodrXgbcgN4pZmDyWznyPmpump	2.710270649	5.0
Ezjrdpy8GuPjKvFT1vohwN4SQaf5eS66TLYrhr96pump	0.113918237	1.4
FNPsVrGps6859qJDTHriaYFLSxshg99i1raq3XSVpump	1.40850005	2.97675
3wJeTMzYMwrpoHThGXznWQuNc3RJ3ayfVu8G11Tbpump	0.054072984	1.9845
E4d3vuDn141CNpu6yyb3rhQY1qPraQcivhTCkUPXpump	0.685046277	1.289925
6ALLG6h6tpSKnsthFKrrViYP82nSjR9u9We7QCExWvvs	0.032943385	1.78605
AMmuXktX8YsRCd8QvdCNT4zuXcnjiLvs4TbHTghFcdog	1.681725287	15.0
9U42VFndhrwWD2EE2scM1WJbse6cETUpSZcbqPqSpump	7.311006174	4.465125
6DxQod47obUWKv69enckRb9riWbUkuPBbPicMystpump	2.188383978	4.0
3ijjuSDcPfBeXyxFzfvWcjPLxHmwij1b6NXaRQGapump	1.862257616	5.9535
3872MKE78ZsXVMBtYHNVaNEw5TtavXAvcL35LR3cpump	0.148318698	1.78605
EhLDgL85gjjQdKQSruYqf2vcTMmc3WFRtrDKHQkbpump	3.747715147	12.0
4cbViZvxMkuHBzvNn9N5kDXCnBwNUzTPHMQDDta7ejRU	3.492234771	3.969
Hu5dmfsqV8x54aV4jEgGo1rwp5T1cBxNaiovCa2ipump	5.545022579	5.9535
4e3FqBXFBC6jSUmYJk8B4iTLKEi1DGhmBbstkXSPpump	2.691071576	10.0
23F33knDKYMZBj1R1EWTMabDV1mNZf7pLbgUm45bpump	7.084791128	15.0
Dp28g7te5nJf1UBrjRFHRCje91ToJD7nX7nCi2EDpump	1.173990899	1.8
Hzy79UuLgD4FWpCSSY189unUZjf86J4oDrSdwfSHe4P4	0.359090506	1.4
CsaBHbqvkLSDi9fuFpoHj6ATwD2SbTUNH6dx9KCtpump	1.244592184	2.57985
3BqMiqKo8DkqmwF9fr9NV8xkAbaYH24ARucG8AtPpump	0.316528442	3.0
J2xafLp3ypyR2cSnhTCSSrRXJjbKecEaaVZE5PzFpump	21.139081646	15.0
6YJk6o1pduFxkr8vPtYU37tT1kBjuLnMbGDnDbrmpump	0.369073985	2.0
7MBhseP2PbidxAFip2ySqF3M9J5sJy1sCty7tqGDvfFJ	0.088627694	1.4
5kpiepAoCaXAyjSKUNueQVKQfR8GXQ9HwGjfARxuXBhu	0.863909305	3.969
4djVde7wnCVsPY2h89mqWGUhDgCzjNBqrC1z1mAxpump	0.736205137	2.0
HRrVFV6yDh6Mza14mH2eN2FCihmqyRk4QRyhgcxwPE8o	1.100852581	3.969
7Rao7L2SmA1dnQnD6svx6hMABoEGnjeDyre1236Qpump	0.18065313	1.5
ADXFV3yuzQyqp2qGjLWrX8EuySyq4gg8P9AWP9oe5muZ	0.012912376	1.2
BfAUQggGMj6hj1DR6LcH1gaR3Tp3agVgNNME23cAeWFd	0.297205345	3.969
29xCwNkUr33YcW727kAZv4PHEE6gBzPERJ5sD7f4pump	0.125808953	1.4
5aBTRLXkp1seceG3S3UAUHyv7RJaoZNyXMRkkTuLpump	0.026585481	1.3
8DnZmFXCbPmJJ4UzSex9nPV6pX3osSyG8aMxG8skpump	2.708503111	6.94575
Gvm5Fe3q3GUrD4pmxBufYz2bxfyUPAS39DwR2p6Fpump	1.014299713	2.97675
12bhncbLbSJEttEkak3ukyVJQh8aV4X4x9Ed85Yopump	0.033256465	1.5
2h8kSvANmiHKa6kLcveqktqQ25pC7RP6sbvZrSkWpump	2.994049427	14.88375
4G4EpVwQ3EUSwApVU3QwUe6T9ErtvrwJzSQbmxh3pump	1.147725431	6.0
BhfMDQB6YvUobx4iU3MAfyZ8wcwj85WGafJakPN6pump	3.40556279	6.0
4bqRP2tyCKtgRanN45kPnsYYBrjnH18GrWma41FSpump	0.428281186	5.9535
9oGYGmocQiXvdwCSvbBJTqiinzqX6RtKaUkvPCXxpump	3.177856862	12.0
Hx71FCHnkAG7tHqrfFf1vbbY7idu362aaWNwxbespump	2.009361709	8.0
HR1e5hkukPNQHv2ihvNrU8HshSpmKzVfJ48V24Hapump	0.019749711	1.78605
9m2FXu8bVQ8ZzQxHGJiEyKKpJDeMMua3PyebGYxdpump	0.029214735	1.289925
8auYH3gvyWSi9BqfkvaGSoPJGu9skrGskrzYMyufpump	0.617035432	3.0
3wiYKuSkgeeLWWtxyUS38VCeLoN4DtPa8k5JPxsQpump	0.285773453	3.4
8gqQTWDW51aBY6yq6m6z5fyZVLpEHQYduwVfmdNopump	0.169185873	2.0
Hqu7kxcQEcRMjUQ9MWsYbDbMTLqsxbrtn6zGWxtTpump	1.293563893	2.0
o7agxdNevPL5hG4Fh4CcfPHGxKELBWM4vtrfFntpump	0.166941349	2.0
7UYkK7hyDmao47hg8x4LhKt8Z383pAyqjnfmoCgVpump	0.057872822	2.0
C3w4kAJnrLkQ6TTt5491kRaokXiqMPwKDyk7m6Prpump	0.527578543	1.9845
5RFX4GkoNAo2mCmMwnkHYjjeWHXd5brvXgV2paKvpump	0.370441813	5.0
szkNmTPYVFgP7DDjvJwQkJLeEaoD4ANB96x1efmpump	0.26006011	2.97675
C4SqraqeiMyiiih4416fw2P9c2Q1yakxMFSk7ux9pump	0.032905813	2.7
GStQvf8VdNPRH6svnouiFK6rhBDy2DnBuxsVVs5pump	0.122153311	4.2
GYSJpBoxMmoEeRbcYz7FRYiJ4iqhXC3oVhutZk8hpump	0.199038245	2.97675
FgksEQwHLk9J1jXw48it73TVWw61FoSWno5iK8Mwpump	1.813551186	2.8
5AycpExu4DgdE2DxknXHTyyACm4JsqoicJUC25G9pump	0.293670804	2.7783
3bidjxwwvXWwtM9kLbr3LtgvAKUw8jjwPwcZHqygpump	0.103685131	1.8
FUxnaA2rb3Q9Z8XT8Y1pcNRHptWnSMJe8fxCtqyqpump	2.432769088	2.8
GrAy3nP9XhNLZ9om3mgyeZufj35S1zdSUXRrwtEMpump	0.064367642	2.0
4tyEznRMgEvzkNRxe8qZJdjiBETUrmi97iZZPXtPpump	0.490226918	2.7783
GCWkPhfxXcZVAsgAg5pLWJAnjQZG94mcDCVqahiepump	0.063416767	3.6
