mint	gross_pnl_sol	entry_sol
Gnfvn53pmGVhMiSudAoPL5Mug9uFXA63tLYWpsoNpump	0.047203988	1.3
8qhR9Nn27AgMhA1BLFPh5YT4CtubpA5mBfYLq2KCpump	0.044247584	1.38915
HUVZS4oJfUDk5o1xPC49aANzpWBbxWBRUT15UwrVpump	0.218354834	3.8
971fgxxsTwUJqKHqKR5YkHNfe8GcTarkTnnkzFtvpump	2.87715187	3.6
2zWEr7YfnUrQc2yN7Bf1FmZuXNZ85dQqVYx2myWhpump	0.502296096	2.3814
5AQpULaZJpC9MMiiZ8EjdPpbZCLN3mEBQczE26uxpump	0.146723513	2.0
4tLcrNSpXVxohZ9FLQ4cRdGg4qHY32HGLLYStjgvpump	1.423155676	3.0
2WujBAAnETRNkfSbGpkCbpdYYiv3QmzsFmb1ZVFZpump	0.967194251	3.0
72P5uumMcTRpCxgXGfPzkWNxFd1Jm527UaX3Jph5pump	1.010327626	2.7783
2GErkuUPCn3azAVFVyk9yLkWD6qEq2edEJ4x1yL7pump	0.300197545	3.8
EFdFPYY8c88GBUtCRXardp359shZEAJk3TpuEvRNpump	0.16630124	1.2
F5k41mEQJh19ZZdD8vKCMgFpJeQMZSk9sy4dsMUEpump	0.612528757	1.4
BSRxJc1NyKN2icVpcAmnjYADAM8BusCxqhheBb3Ppump	0.059076337	2.8
3sAcWUxCrdeQYQUvnjjKYSx3hEhbgHzbpNZwGvevpump	0.394186732	1.1907
5rbvaadMUYG3wQJiCNGgauTQaKLcupck8jL2EgEqpump	2.069659773	3.0
Fbsh96j9bHkSyTwyTXx23UifWBzWDuETQ7UaTfvNpump	0.344971996	2.0
6Dh7Bzb1UG86k2GwaiKtMUeDg8t7WNiKhgN3seK5pump	0.470188629	3.2
XWaQ141hoj85JWVgxQeALzsA1R6aCqC4fv9hsazpump	0.166002799	2.0
E7gBUg9gwBFBCKL1uboR4co8uZhMsnbpEdrXZEZupump	0.477955197	1.6
BnZWMH81f8rDsBijD6S1J45NbDgSNxid9HBJc7Nqpump	0.22400982	2.0
2H93feVs3oN5mDEpNYv55h2vTfzrAtPLpkDmZGhspump	0.333550928	2.0
F3PqJFr5hDeh2B8uz7LVAud4pdD8qoSjUHb4aX5Rpump	0.048857747	1.38915
5LNhYtQGmhfwD2VvVuM1YNKxzyVL6mA3kDpZ31gfpump	2.559590262	3.0
32ecZWRpTqatRfyfiXvXUCM2UgENtKga2dXCnD4Jpump	1.256778777	1.9845
79XqY4Vbb68FdNPCAT831bKrVY3Xph6NiXwqP2xYpump	0.378502382	2.4
7EoSgiouayNi566cm3jrmvDcboxrqU7gyk81AHgspump	0.368517216	1.2
BTTJPmwU1D5piRzAdpsknPQo2LtCuD9wgdJWmVkg7U6D	0.509696998	3.969
8tmQuaokBMBoMpJnMXsCUFdomHHaWYZr5qEiVexhpump	0.583464756	1.2
6qXoqjmZ2vueBXxW2zrkPaGTbdQxuHtrA8zRZBompump	1.183328607	2.0
8HSvX1gh5oY1PN1BMjnaPmMuRrLTEDCUDPCdvJuegXqR	1.105161166	1.6
3UJtyR1ZLYKYC12PaYn5gERBYjcP9MrVLCnLx2hkpump	0.826731343	6.0
8m1FgRin9KNxeMAaG8V1Cb18PWBHgcLXUqaVJy4npump	0.096617731	1.78605
FkSSoofxfmLZLUhfDV7hpk6rxwtXzP6jRiRwqVVLpump	0.970282771	4.96125
Hht9mCzEkYSs9EEwtMh6sNsgxtESgAxc3b3ujHfbpump	0.035603512	2.0
2kmU6q5onf7cUQ2z4PNJUziqMpgLGE8nvK3r7nHEpump	0.178986593	1.9845
3V2Gtv7foNWdphE8PkxWDEXvS3ZAsr84DErAbqiKpump	0.041076902	1.2
4rwbPg1CrCh4t6uBfSHGXbjFtTm3eGS9Pd6CGasqpump	1.095583031	2.0
C5xDKNbjh7eod8j55nVmR1HceUrv91weyR2q2LJ4DnC2	0.105911449	1.4
65wp2TQn6PXSqgkcdxRi9hEDMKsv6HxZr1pozfv2pump	1.00977685	1.9845
7XqFYnAUvWM37NmLJi2oMcS87ZmGm4nw7PPXDgsfmGxQ	0.224897903	2.0
5UMRN9yBYcDG2pnmGUqpvpiMbR713JWZp4q1Ctmnpump	5.019667569	3.0
8Lp6NonDZuSP8dPPWVC5RufME4nuJ9j149rS8b1aqjAo	0.369422874	2.0
EQNk9UVJn8RcVk4NoQyqyrsEXcqUgrzB4aPzHSHzpump	15.093621561	17.2
9ACwLCbSdm8dNcD6Y3kBf6F2yXqjy7wvPZeSVs5Zpump	0.418076994	2.18295
7Br65qgJ5pX14vPJHMpC2Ny8eoPGfUQ4v8J5M1Skpump	0.370627682	2.2
E5aNLowCkgpT3h357Spqqpag7VX5AskuQGqpD7pzpump	5.13303306	5.9535
5kHH9UQfPnTZTAUrMayXR85o1qTDb6BWSW6Fz4nopump	0.178259215	3.0
GXmtk24MyUkeGTgeVgKRdYTsXLhxNiLz75A7K71rpump	0.415216564	1.3
DZ4X8aUwRGkoVKsiwxvqyeiz5cMLo8PHT4UtL1SMpump	0.821453342	2.2
7iE7UMJtBdFo4oLg7Hb9KMNPR9fnG3uV6J9v6RuJpump	0.392323951	2.2
8KNf1QB3uLzFeSnwx2wcuPLL7WqyAvKNpwg4oGbypump	0.567312109	2.2
3QhHyv3qC82e6AmUUsGEEG2iSenfYFr42ZYufyWkpump	2.854962377	15.0
8K3HWyYpcPJ8aWLbHUbAqSf7PdoVZ6CFqPDirtsHkhQM	0.115252763	1.2
8SvsDS8opm2pRwhuDa4kr2RJnTyFrtK7eaTnqE4Tpump	0.010511549	1.5
